2025-01-20 17:28:17.725 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 553018: 
2025-01-20 17:28:18.618 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 55407: 
2025-01-20 17:28:31.431 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 55192: 
2025-01-20 17:28:34.738 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 55264: 
2025-01-20 17:28:37.985 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 55192: 
2025-01-20 17:28:38.817 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 557811: 
2025-01-20 17:28:41.291 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 55264: 
2025-01-20 17:28:45.377 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 557811: 
2025-01-20 17:28:45.651 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 55192: 
2025-01-20 17:28:49.186 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 55264: 
2025-01-20 17:28:53.414 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 553486: 
2025-01-20 17:28:53.627 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 557811: 
2025-01-20 17:29:00.948 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 55204: 
2025-01-20 17:29:01.172 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 553486: 
2025-01-20 17:29:01.388 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 55568: 
2025-01-20 17:29:07.932 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 55568: 
2025-01-20 17:29:09.044 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 55204: 
2025-01-20 17:29:09.281 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 553486: 
2025-01-20 17:29:16.844 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 553511: 
2025-01-20 17:29:17.746 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 55204: 
2025-01-20 17:29:17.965 | ERROR    | mav_scraper.slender.slender:error:52 - Error fetching route shape for 555711: 
